MOVIES,Year,RATING,VOTES,RunTime,Gross_Clean,GENRE,ONE-LINE,Director_Clean,Stars_Clean,Type,Status
Million Pound Menu,2018.0,6.7,506.0,60.0,NaN,"Game-Show, Reality-TV",Participants try to convince a jury that their new restaurant ideas could work.,NaN,"Fred Sirieix, Matthew Hawksley, David Page, Scott Collins",Series,Ongoing
Milly & Mamet: Ini Bukan Cinta & Rangga,2018.0,7.4,684.0,101.0,NaN,"Comedy, Drama","Mamet obeyed Milly's request to stop working at a banker bank to raise their children, to work in his in-laws factory to meet Alexandra who again invited her to become a chef at the restaurant of her second dream while in college.",Ernest Prakasa,"Julie Estelle, Yoshi Sudarso, Adinia Wirasti, Dian Sastrowardoyo",Movie,Released
Milosc do kwadratu,2021.0,5.0,2489.0,102.0,NaN,"Comedy, Romance",A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,Filip Zylber,"Adrianna Chlebicka, Mateusz Banasiuk, Agnieszka Zulewska, Krzysztof Czeczot",Movie,Released
Mimi wo sumaseba,1995.0,7.9,55741.0,111.0,NaN,"Animation, Drama, Family","A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",Yoshifumi Kondô,"Yoko Honna, Issey Takahashi, Takashi Tachibana, Shigeru Muroi",Movie,Released
Mind Game,2004.0,7.8,8774.0,103.0,40000.0,"Animation, Adventure, Comedy","After a deadly encounter with two yakuza, a loser with a crush on his childhood girlfriend goes to heaven and back, embarking on a psychedelic self-discovery experience with her and his friends.","Masaaki Yuasa, Kôji Morimoto","Kôji Imada, Sayaka Maeda, Takashi Fujii, Seiko Takuma",Movie,Released
Mindhorn,2016.0,6.3,11856.0,89.0,NaN,"Comedy, Thriller","A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person.",Sean Foley,"Julian Barratt, Simon Farnaby, Essie Davis, Steve Coogan",Movie,Released
Mindhunter,2017.0,8.6,235694.0,60.0,NaN,"Crime, Drama, Thriller","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",NaN,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross",Series,Ended
Mine,2021.0,7.8,580.0,70.0,NaN,"Drama, Mystery","Encaged in a gold-clad life of secrets and lies, two women in a conglomerate family seek to topple all that stands in their way of finding true joy.",NaN,"Lee Bo-young, Kim Seo-hyeong, Ja-Yeon Ok, Hak-Yeon Cha",Series,Ongoing
Minecraft: Story Mode,2018.0,5.7,181.0,NaN,NaN,Adventure,"MInecraft: Story Mode is an interactive, animated TV series from Netflix and Telltale Games. Viewers input decisions that affect the course of the story, using a remote control or computer keyboard.",NaN,"Patton Oswalt, Catherine Taber, Ashley Johnson, Brian Posehn",Movie,Released
Miniforce X,2019.0,4.3,10.0,NaN,NaN,Animation,NaN,NaN,"Connie Fernandez, Rayner Gabriel, Donald Guzzi, Jason Kesser",Series,Ongoing
Mio fratello mia sorella,NaN,NaN,0.0,NaN,NaN,Comedy,NaN,Roberto Capucci,"Caterina Murino, Frank Gerrish, Alessandro Preziosi, Ludovica Martino",Movie,Released
Miracle in Cell No. 7,2019.0,8.2,41099.0,132.0,NaN,Drama,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,Mehmet Ada Öztekin,"Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal, Celile Toyon Uysal",Movie,Released
Miraculous: Ladybug & Cat Noir: Happy Birthday to You!,2017.0,7.3,34.0,1.0,NaN,"Animation, Short","Break dancing, dragons, balloons and a DJ: Ladybug and Cat Noir have decided that your birthday is the perfect time to get a party started.",NaN,,Movie,Released
Miraculous: Tales of Ladybug & Cat Noir,2015.0,7.7,8300.0,20.0,NaN,"Animation, Action, Adventure","Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",NaN,"Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Mela Lee",Series,Ongoing
Mirai nikki,2011.0,7.6,15313.0,25.0,NaN,"Animation, Action, Drama","A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future.",NaN,"Josh Grelle, Brina Palencia, Leah Clark, Emily Neves",Series,Ended
Mirai no Mirai,2018.0,7.0,13651.0,98.0,810000.0,"Animation, Adventure, Drama","A young boy encounters a magical garden which enables him to travel through time and meet his relatives from different eras, with guidance by his younger sister from the future.",Mamoru Hosoda,"Rebecca Hall, Daniel Dae Kim, John Cho, Crispin Freeman",Movie,Released
Miranda Sings Live... Your Welcome,2019.0,5.5,395.0,61.0,NaN,Comedy,"Viral video star Miranda Sings and her real-world alter ego Colleen Ballinger share the stage in a special packed with music, comedy and ""magichinry.""",Marcus Raboy,"Colleen Ballinger, Erik Stocklin",Movie,Released
Mirror Mirror,2012.0,5.6,85615.0,106.0,64940000.0,"Adventure, Comedy, Drama",An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,Tarsem Singh,"Lily Collins, Julia Roberts, Armie Hammer, Nathan Lane",Movie,Released
Mirrors,2008.0,6.1,103973.0,110.0,30690000.0,"Horror, Mystery",An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,Alexandre Aja,"Kiefer Sutherland, Paula Patton, Amy Smart, Cameron Boyce",Movie,Released
"Mis Peores Amigos: Promedio Rojo, El Regreso",2013.0,3.8,265.0,88.0,NaN,"Action, Comedy, Drama",NaN,Nicolás López,"Ariel Levy, Nicolás Martínez, Ignacia Allamand, Javier Aller",Movie,Released
Misaeng,2014.0,8.6,1509.0,60.0,NaN,Drama,"This a Drama series about a group of co-workers in their twenties who started their job at a big multinational company. This is a story about their everyday life, about their journey each day at the office.",NaN,"Si-wan Yim, Lee Sung-min, Kang So-ra, Kang Ha-Neul",Movie,Released
Miseu Hammurabi,2018.0,7.6,471.0,80.0,NaN,"Comedy, Drama",The series tells the story of the life of judges and the various disputes that they have to settle.,NaN,"Go Ara, Myung-Soo Kim, Dong-il Sung, Deok-Hwan Ryu",Movie,Released
Miseuteo Shunshain,2018.0,8.8,5228.0,80.0,NaN,"Action, Drama, History",A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,NaN,"Lee Byung-hun, Kim Tae-ri, Yoo Yeon-Seok, Yo-Han Byun",Movie,Released
Miseuti,2018.0,8.2,421.0,60.0,NaN,"Drama, Mystery, Romance","This drama is a Crime Suspense centering around a headstrong anchorwoman who becomes the suspect in a murder case. Her estranged husband, who's a lawyer, decides to defend her and hence starts their journey to fall back in love.",NaN,"Nam-ju Kim, Jin-hee Ji, Hye-jin Jeon, Tae-kyung Im",Series,Ongoing
Misfire,2014.0,3.2,753.0,90.0,NaN,Action,"Hardened DEA agent, Cole, descends into the dangerous underworld of Tijuana, Mexico in search of his journalist ex-wife who he believes has been abducted by a charismatic Cartel boss with aspirations for public office.",R. Ellis Frazier,"Gary Daniels, Vannessa Vasquez, Michael Greco, Luis Gatica",Movie,Released
Misfit,2017.0,4.3,360.0,86.0,NaN,"Comedy, Family","Moving back to her native Netherlands after years of living in the United States, a teenage girl navigates the intricacies of Dutch high school life.",Erwin van den Eshof,"Djamila, Bente Fokkens, Niek Roozen, Jolijn Henneman",Movie,Released
Misfit 2,2019.0,4.8,124.0,81.0,NaN,Comedy,NaN,Erwin van den Eshof,"Tatyana Beloy, Hanwe Chang, Quentin Correia, Stefan de Vries",Movie,Released
Misfit 3: De Finale,2020.0,5.3,68.0,82.0,NaN,Comedy,NaN,Erwin van den Eshof,"Djamila, Niek Roozen, Jolijn Henneman, Fenna Ramos",Movie,Released
Misfits,2009.0,8.2,95735.0,60.0,NaN,"Comedy, Drama, Fantasy","A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers.",NaN,"Nathan Stewart-Jarrett, Joe Gilgun, Iwan Rheon, Lauren Socha",Series,Ended
Misha and the Wolves,2021.0,7.1,93.0,90.0,NaN,Drama,"Misha and the Wolves is the dramatic tale of a woman whose holocaust memoir took the world by storm, but a fallout with her publisher - who turned detective - revealed an audacious deception created to hide a darker truth.",Sam Hobkinson,Misha Defonseca,Movie,Released
Mismatched,2020.0,5.7,1657.5,30.0,NaN,"Comedy, Drama, Romance",The movie will be a romantic film featuring two people who are not right for each other. The story is about Prajakta's character who is a tech wizard and the guy who is interested in her.,"Nipun Dharmadhikari, Akarsh Khurana","Prajakta Koli, Rohit Saraf, Muskkaan Jaferi, Devyani Shorey",Series,Ongoing
Miss Americana,2020.0,7.4,17209.0,85.0,NaN,"Documentary, Biography, Music",A look at iconic pop artist Taylor Swift during a transformational time in her life as she embraces her role as a singer/songwriter and harnesses the full power of her voice.,Lana Wilson,"Taylor Swift, Andrea Swift, Scott Swift, Joel Little",Movie,Released
Miss Bala,2019.0,5.8,10048.0,104.0,15010000.0,"Action, Crime, Drama","Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength. Based on the Spanish-language film.",Catherine Hardwicke,"Gina Rodriguez, Thomas Dekker, Vivian Chan, Barbarella Pardo",Movie,Released
Miss Fisher's Murder Mysteries,2012.0,8.3,14457.0,60.0,NaN,"Crime, Drama, Mystery","A female sleuth sashays through the back lanes and jazz clubs of Melbourne in the late 1920s, fighting injustice with her pearl-handled pistol and her dagger-sharp wit.",NaN,"Essie Davis, Nathan Page, Hugo Johnstone-Burt, Ashleigh Cummings",Series,Ended
Miss India,2020.0,3.6,1793.0,136.0,NaN,Drama,"An aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from culture to start a tea business.",Narendra Nath,"Keerthy Suresh, Naveen Chandra, Sumanth Shailendra, Kamal Kamaraju",Movie,Released
Miss Me This Christmas,2017.0,4.5,478.0,87.0,NaN,"Comedy, Romance",NaN,Kenny Young,"Erica Ash, Redaric Williams, Eva Marcille, Allen Maldonado",Movie,Released
Miss Representation,2011.0,7.6,3709.0,85.0,NaN,Documentary,"Explores the under-representation of women in positions of power and influence in America, and challenges the media's limited portrayal of what it means to be a powerful woman.",Jennifer Siebel Newsom,"Jennifer Siebel Newsom, Jean Kilbourne, Jim Steyer, Katie Couric",Movie,Released
Missing 9,2017.0,7.0,336.0,NaN,NaN,"Adventure, Mystery",NaN,NaN,"Jin-hee Baek, Jung Kyung-ho, Choi Tae-Joon, Oh Jeong-Se",Movie,Released
Mission Blue,2014.0,8.0,1825.0,95.0,NaN,"Documentary, Drama","Feature documentary about legendary oceanographer, marine biologist, environmentalist and National Geographic Explorer-in-Residence Sylvia Earle , and her campaign to create a global network of protected marine sanctuaries.","Robert Nixon, Fisher Stevens","Barbara Block, James Cameron, Michael deGruy, Sylvia Earle",Movie,Released
Mitt,2014.0,6.9,2533.0,94.0,NaN,"Documentary, Biography, Family",Mitt Romney and his family are followed through their U.S. Presidential campaigns.,Greg Whiteley,"Mitt Romney, Candy Crowley, Eric Draper, Jim Lehrer",Movie,Released
Mixtape,NaN,NaN,0.0,NaN,NaN,"Comedy, Romance","When a young girl accidentally destroys the mixtape that belonged to her mother, she sets out to track down each of the obscure songs on the cassette.",Valerie Weiss,"Jackson Rathbone, Julie Bowen, Nick Thune, Kiefer O'Reilly",Movie,Released
Mo,2007.0,6.6,205.0,105.0,NaN,"Comedy, Drama, Family","After discovering that the reason behind all of his physical differences is a genetic mutation called ""Marfan Syndrome"", Mo is forced to come to terms with a more serious reality.",Brian Scott Lederman,"Erik Per Sullivan, Margo Martindale, Adam LeFevre, Brian Scott Lederman",Movie,Released
Mo Amer: The Vagabond,2018.0,7.4,618.0,56.0,NaN,"Documentary, Comedy",NaN,Stan Lathan,Mohammed Amer,Movie,Released
Mo Gilligan: Momentum,2019.0,6.3,354.0,64.0,NaN,Comedy,"Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",Chris Howe,Mo Gilligan,Movie,Released
Mo lun,2016.0,4.7,574.0,90.0,NaN,Horror,NaN,Zao Wang,"Ruby Lin, Peter Ho, Kim Scar, Yuexi Gai",Movie,Released
Mob Psycho 100,2016.0,8.6,19553.0,24.0,NaN,"Animation, Action, Comedy","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",NaN,"Setsuo Ito, Takahiro Sakurai, Akio Ôtsuka, Miyu Irino",Series,Ended
Mob Psycho 100,2018.0,5.1,462.0,24.0,120000.0,"Sci-Fi, Thriller","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",NaN,"Ayumu Mochizuki, Tatsuomi Hamada, Atsushi Arai, Masayuki Deai",Movie,Released
Mobeomhyungsa,2020.0,7.5,488.0,60.0,NaN,"Action, Drama, Mystery",A drama about the race between people who want to get closer to the truth and those who want to cover it up.,NaN,"Son Hyeon-ju, Seung-jo Jang, Elliya Lee, Seung-Hyeon Ji",Movie,Released
Mochileros,NaN,NaN,0.0,NaN,NaN,"Comedy, Romance",NaN,Bruno Ascenzo,"Maxi Iglesias, Renata Flores, Mayella Lloclla, Vicente Vergara",Movie,Released
Modern Family,2009.0,8.3,190717.0,22.5,NaN,"Comedy, Drama, Romance","Jay must adapt to his young new wife, Gloria and her son. Meanwhile, Claire deals with her own family. Mitchell and Cam decide to adopt a baby.",Jason Winer,"Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell",Series,Ended
Modo Avião,2020.0,5.0,2306.0,96.0,NaN,"Comedy, Drama, Romance","Follows the young Ana, who studied fashion design dreaming of becoming a great stylist but dropped everything to become a digital influencer for a famous brand.",César Rodrigues,"Larissa Manoela, Erasmo Carlos, Katiuscia Canoro, André Luiz Frambach",Movie,Released
Modooui Geojitmal,2019.0,7.0,260.0,60.0,NaN,"Drama, Mystery, Thriller","A woman, whose husband disappears, joins the National Assembly and teams up with a detective in her search for the truth. The two of them work together to break through the silence and lies that people spill to protect their own interests.",NaN,"Yoo-Young Lee, Lee Min-ki, Lee Joon-hyuk, Kim Yong Ji",Series,Ongoing
Moesha,1996.0,5.8,3430.0,30.0,NaN,"Comedy, Drama, Family",A teenager struggles to come to terms with everything life throws at her.,NaN,"Brandy Norwood, William Allen Young, Marcus T. Paulk, Lamont Bentley",Series,Ended
Moh Maya Money,2016.0,5.6,419.0,108.0,NaN,"Crime, Drama, Thriller","A young real-estate broker tries to pull off a huge scam, which goes horribly wrong. To fix everything he involves his begrudging wife leading to an end neither could imagine.",Munish Bhardwaj,"Neha Dhupia, Ranvir Shorey, Devendra Chowhan, Vidushi Mehra",Movie,Released
Mohawk,2017.0,4.6,1446.0,91.0,NaN,"Action, Drama, History","Late in the War of 1812, a young Mohawk woman and her two lovers battle a squad of American soldiers hell-bent on revenge.",Ted Geoghegan,"Kaniehtiio Horn, Ezra Buzzington, Eamon Farren, Justin Rain",Movie,Released
Mohtaram Ella Robaa,2012.0,3.0,31.0,96.0,NaN,nan,NaN,Mohamed Hamdy,"Lamitta Frangieh, Mimi Gamal, Rania Mallah, Mohsen Mansour",Movie,Released
Mokalik (Mechanic),2019.0,6.3,130.0,100.0,NaN,Comedy,NaN,Kunle Afolayan,"Femi Adebayo, Halimat Adegbola, Ayo Adesanya Hassan, Faith Afolabi",Movie,Released
Molang,2015.0,8.6,263.0,NaN,NaN,"Animation, Short, Comedy","Molang and Piu Piu are strolling in the Savana when a volcano starts to grumble. Pursuaded that the volcano is about to erupt, they attempt to warn the animals, who in turn are not aware of the danger and do not want to follow them.",NaN,Bruno Guéraçague,Series,Ongoing
Moms at War,2018.0,6.1,51.0,90.0,NaN,Comedy,NaN,Omoni Oboli,"Tomi Adeoye, Lilian Afegbai, Funke Akindele, Harriet Akinola",Movie,Released
Mon frère,2019.0,6.7,936.0,96.0,NaN,Drama,NaN,Julien Abraham,"MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert",Movie,Released
Monarca,2019.0,7.9,2801.0,43.0,NaN,Drama,"After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.",NaN,"Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Regina Pavón",Series,Ended
Money,2016.0,5.5,2806.0,86.0,1020000.0,"Crime, Mystery, Thriller","Two corporate spies with a $5 million haul for selling secrets are held hostage by a thief, triggering a game of cat and mouse to gain the upper hand.",Martín Rosete,"Jesse Williams, Kellan Lutz, Jamie Bamber, Jess Weixler",Movie,Released
Money Heist Korea,NaN,NaN,0.0,NaN,NaN,"Action, Crime, Drama",A series of heists conducted by an unusual group of robbers.,NaN,"Kim Ji-hun, Yoo Ji-Tae, Jeon Jong-seo, Lee Joobeen",Movie,Released
"Money, Explained",2021.0,6.9,1451.0,23.0,NaN,Documentary,"We spend it, borrow it and save it. Now let's talk about money and its many minefields, from credit cards to casinos, scammers to student loans.",NaN,"Hal Hershfield, Maria Konnikova, Bobby Cannavale, Edie Falco",Movie,Released
Moneyball,2011.0,7.6,386263.0,133.0,75610000.0,"Biography, Drama, Sport",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Bennett Miller,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman",Movie,Released
Mongol,2007.0,7.2,45408.0,126.0,5700000.0,"Action, Biography, Drama",The story recounts the early life of Genghis Khan who was a slave before going on to conquer half the world in 1206.,Sergei Bodrov,"Tadanobu Asano, Amadu Mamadakov, Khulan Chuluun, Honglei Sun",Movie,Released
Monica O My Darling,NaN,NaN,0.0,NaN,NaN,"Comedy, Crime, Drama",Which a young man desperately tries to make it big with some unlikely allies and a dastardly diabolical plan to pull off the perfect murder.,Vasan Bala,"Huma Qureshi, Radhika Apte, Rajkummar Rao, Akansha Ranjan Kapoor",Movie,Released
Monkey Man,2022.0,NaN,0.0,NaN,NaN,"Action, Thriller",A recently-released ex-felon living in modern day India struggles to adjust to a world of corporate greed and eroding spiritual values.,Dev Patel,"Dev Patel, Sharlto Copley, Sobhita Dhulipala, Vipin Sharma",Movie,Released
Monkey Twins,2018.0,7.9,81.0,NaN,NaN,"Action, Adventure, Crime",NaN,NaN,"Phakhin Khamwilaisak, Alisa Kunkwaeng, Akkarat Nimitchai, Sumret Muengput",Series,Ongoing
Mono,2016.0,6.2,1365.0,88.0,NaN,Comedy,"A mono virus outbreak at Highland Park High takes out the most popular kids for two months, allowing the outcasts to rule the school.",Jarrett Lee Conaway,"Ty Parker, Sam Lerner, Sarah De La Isla, Kathryn Newton",Movie,Released
Mononoke-hime,1997.0,8.4,359473.0,134.0,2380000.0,"Animation, Action, Adventure","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup",Movie,Released
Monsoon,2019.0,6.0,1621.0,85.0,NaN,"Drama, History, Romance","Kit, a British man of Vietnamese heritage, returns to Saigon for the first time in over 30 years after leaving the country with his parents, when he was six years old, at the end of the Vietnam War.",Hong Khaou,"Henry Golding, William Do, David Tran, Lam Anh Dao",Movie,Released
Monster,2018.0,6.5,4559.0,98.0,NaN,"Crime, Drama","A smart, likeable, 17-year-old film student from Harlem sees his world turned upside down when he's charged with a murder. We follow his dramatic journey through a complex legal battle.",Anthony Mandler,"ASAP Rocky, John David Washington, Kelvin Harrison Jr., Roberto Lopez",Movie,Released
Monster Hunter: Legends of the Guild,2021.0,NaN,0.0,58.0,NaN,"Animation, Action, Adventure","In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon.",Steve Yamamoto,"Dante Basco, Erica Lindbeck, Brando Eaton, Stephen Kramer Glickman",Movie,Released
Monster Math Squad,2012.0,5.8,34.0,30.0,NaN,Animation,"Monster Math Squad stars MAX, LILY and GOO. The Squad love nothing better than to put their monster minds together and use their math skills to overcome any obstacle they face.",NaN,"Julie Sype, Jenna Warren, Cory Doran, Annick Obonsawin",Series,Ongoing
Monster: The Jeffrey Dahmer Story,2022.0,NaN,0.0,NaN,NaN,"Biography, Crime, Drama",Story of the Milwaukee Monster told from the perspective of the victims and police incompetency that allowed the Wisconsin native to go on a multiyear killing spree.,Carl Franklin,"Hollie Bahar, Bill Doyle, Justin Stella, Christian Weissmann",Series,Ongoing
Monty Don's French Gardens,2013.0,7.9,186.0,59.0,NaN,Documentary,Monty Don visits some of the most famous and interesting gardens in France.,NaN,Monty Don,Series,Ended
Monty Don's Italian Gardens,2011.0,8.4,243.0,59.0,NaN,Documentary,"Monty Don, a Gardening expert, visits gardens in various areas of Italy.",NaN,Monty Don,Movie,Released
Monty Python Live (Mostly),2014.0,7.7,2479.0,162.0,NaN,"Documentary, Comedy, Musical","The reunion of the Monty Python team on stage for the first time in over thirty years, and for the last time ever.","Eric Idle, Aubrey Powell","John Cleese, Terry Gilliam, Eric Idle, Terry Jones",Movie,Released
Monty Python and the Holy Grail,1975.0,8.2,513289.0,91.0,1230000.0,"Adventure, Comedy, Fantasy","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam",Movie,Released
Monty Python's Best Bits (mostly),2014.0,7.5,216.0,29.0,NaN,"Documentary, Comedy","This series is presented by self-confessed Python nut Hugh Bonneville, each show with a group of five famous comedians remembering their favourite Python moments. Each guest chooses a sketch (or two) and it's played with their comments..",NaN,"Bill Bailey, Kate Beckinsale, Hugh Bonneville, Jim Carrey",Movie,Released
Monty Python's Fliegender Zirkus,1972.0,8.2,1903.0,87.0,NaN,Comedy,Two parts Monty Python German television comedy specials.,NaN,"Graham Chapman, John Cleese, Eric Idle, Terry Jones",Movie,Released
Monty Python's Flying Circus,1969.0,8.8,69552.0,30.0,NaN,Comedy,The original surreal sketch comedy showcase for the Monty Python troupe.,NaN,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle",Series,Ended
Monty Python's Flying Circus: Live at Aspen,1998.0,7.9,1054.0,58.0,NaN,"Documentary, Comedy",NaN,Paul Miller,"Robert Klein, John Cleese, Terry Gilliam, Eric Idle",Movie,Released
Monty Python's Personal Best,2006.0,7.9,412.0,NaN,NaN,Comedy,"The actors from ""Monty Python's Flying Circus"" each share their favorite and memorable moments from the series.",NaN,"John Cleese, Michael Palin, Terry Jones, Terry Gilliam",Movie,Released
Monty Python: Almost the Truth - The Lawyer's Cut,2009.0,8.1,1631.0,54.0,NaN,"Documentary, Biography",A documentary on the history on British comedy group Monty Python. Features interviews with the five surviving members plus other comedians and artists whose careers they have influenced.,NaN,"Eric Idle, John Cleese, Michael Palin, Terry Gilliam",Series,Ongoing
Monty Python: Before the Flying Circus,2008.0,7.3,157.0,55.0,NaN,Documentary,"The pre-Monty Python years of the six members of the group. Covers their school and university days, their first individual forays into comedy, how the parts slowly came together and Monty Python's eventual formation.",Will Yapp,"Robert Bathurst, Eric Idle, John Cleese, Terry Jones",Movie,Released
Monty Python: The Meaning of Live,2014.0,7.6,544.0,90.0,NaN,Documentary,"Uniquely intimate documentary following the stars of Monty Python as they reunite for a final time to stage a marathon ten shows of Monty Python Live (mostly) - One Down Five to Go at The O2, London in July 2014.","Roger Graef, James Rogan","Eric Idle, Terry Gilliam, John Cleese, Michael Palin",Movie,Released
Moon Hotel Kabul,2018.0,6.5,157.0,100.0,NaN,Drama,NaN,Anca Damian,"Ilona Brezoianu, Florin Ghioca, Lia Marin, Alexandru Nagy",Movie,Released
Moonbeams,2001.0,8.1,8.0,81.0,NaN,Drama,"Moonbeams is the coming of age story of Dave Parker (Peter Richard), a boy whose family is falling apart who seeks help by talking to the moon.",Don Haderlein,"Janna Copley, Jason Dugre, Nancy Fassett, Merritt Gibbons",Movie,Released
Moonlight,2016.0,7.4,285273.0,111.0,27850000.0,Drama,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",Barry Jenkins,"Mahershala Ali, Naomie Harris, Trevante Rhodes, Alex R. Hibbert",Movie,Released
Moonrise Kingdom,2012.0,7.8,328550.0,94.0,45510000.0,"Comedy, Drama, Romance","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",Wes Anderson,"Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray",Movie,Released
More Tales of the City,1998.0,7.9,1751.0,330.0,NaN,"Drama, Romance",NaN,NaN,"Olympia Dukakis, Laura Linney, Colin Ferguson, Barbara Garrick",Movie,Released
Morgan Murphy: Irish Goodbye,2014.0,6.7,312.0,51.0,NaN,Comedy,"Morgan Murphy brings dry and self-deprecating wit to the stage for this hilarious, gin-soaked special. Murphy's first target is always herself, but won't hesitate to bring down everyone from Planned Parenthood to teenage sexters.",Jay Chapman,"Morgan Murphy, Brody Stevens",Movie,Released
Morir para contar,2018.0,6.8,312.0,87.0,NaN,Documentary,"""Morir para contar"" tells the stories of Spanish war correspondant dead while doing their work.",Hernán Zin,"David Beriain, Hernán Zin, Roberto Fraile, Carmen Sarmiento",Movie,Released
Morris from America,2016.0,6.2,5201.0,91.0,90000.0,"Comedy, Drama, Romance",The romantic and coming-of-age misadventures of a 13-year-old American living in Germany.,Chad Hartigan,"Markees Christmas, Craig Robinson, Carla Juri, Patrick Güldenberg",Movie,Released
Mortel,2019.0,7.31,207.29,47.43,NaN,"Crime, Drama, Fantasy",A group of French teenagers are bound together by a supernatural force.,Simon Astier,"Georgina Elizabeth Okon, Ryan Cargill, Carl Malapa, Némo Schiffman",Series,Ended
Mortified Nation,2013.0,7.3,991.0,84.0,NaN,Documentary,"Adults share their most embarrassing teenage writings and art in front of total strangers at Mortified stage shows across the country, as the filmmakers explore what the show's popularity says about all of us.",Michael Mayer,"Jenny Bergman, Alexander Burke, Cecil Castellucci, Tynan DeLong",Movie,Released
Moshe Kasher: Live in Oakland,2012.0,6.8,314.0,61.0,NaN,Comedy,"Oakland-bred comic and best-selling author Moshe Kasher comes back to the Bay Area in this standup special. Back on his home turf, Kasher finds comedy in these uproarious stories about the people he's met -and how they see him",Jay Chapman,Moshe Kasher,Movie,Released
Most Dangerous Game,NaN,NaN,0.0,NaN,NaN,Comedy,Plot details are under wraps.,NaN,"Zoey Deutch, Glen Powell, Tonjha Richardson",Movie,Released
Most High,2004.0,6.5,280.0,95.0,NaN,Drama,NaN,Marty Sader,"Marty Sader, Laura Keys, Kenyon Robertson, Josh Taback",Movie,Released
Most Likely To,NaN,NaN,0.0,NaN,NaN,"Comedy, Romance","The film will follow high school seniors who hack their yearbook to change their senior superlatives, only to wake up 20 years in the future and living out their chosen destinies.",NaN,,Movie,Released
Mostly Sunny,2016.0,5.4,694.0,83.0,NaN,Documentary,"Mostly Sunny is a documentary that tells the remarkable story of Sunny Leone, the Canadian-born, American-bred adult film star who is pursuing her dreams of Bollywood stardom.",Dilip Mehta,"Sunny Leone, Daniel Weber, Sundeep Vohra, Kiran Bedi",Movie,Released
Mosul,2019.0,7.2,23325.0,86.0,NaN,"Action, Drama, War",A police unit from Mosul fight to liberate the Iraqi city from thousands of ISIS militants.,Matthew Michael Carnahan,"Waleed Elgadi, Hayat Kamille, Thaer Al-Shayei, Suhail Dabbach",Movie,Released
Motel Makeover,2021.0,NaN,0.0,NaN,NaN,Reality-TV,"Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway.",NaN,,Series,Ongoing
