MOVIES,Year,RATING,VOTES,RunTime,Gross_Clean,GENRE,ONE-LINE,Director_Clean,Stars_Clean,Type,Status
Antologi Rasa,2019.0,6.4,156.0,108.0,NaN,Drama,"Keara (Carissa Perusset) loves Ruly (Refal Hady), even though she realizes that Ruly loves Denise (Atikah Suhaime). Meanwhile, Harris (Herjunot Ali) also has found his true love in Keara. But for Keara, Harris is just her best friend.",Rizal Mantovani,"Herjunot Ali, Carissa Perusset, Refal Hady, Atikah Suhaime",Movie,Released
Anxious People,NaN,NaN,0.0,NaN,NaN,"Comedy, Drama","A failed bank robber locks himself in a home, along with a real estate agent, two IKEA addicts, a pregnant woman, a suicidal millionaire and a rabbit.",NaN,"Dan Ekborg, Carla Sehn, Petrina Solange, Alfred Svensson",Movie,Released
Any Day Now,2012.0,7.5,6037.0,98.0,200000.0,Drama,"In the 1970s, a gay couple fights a biased legal system to keep custody of the abandoned mentally handicapped teenager that comes to live under their roof.",Travis Fine,"Alan Cumming, Garret Dillahunt, Isaac Leyva, Frances Fisher",Movie,Released
Anytown,2009.0,4.8,367.0,85.0,NaN,"Crime, Drama, Thriller","A middle-American teenage boy who is affected by 9/11, terrorism, and the war in Iraq becomes involved in an isolated high school altercation that escalates into a hate crime that shocks the entire nation.",David Rodriguez,"Matt O'Leary, Marshall Allman, Jonathan Halyalkar, Sam Murphy",Movie,Released
Ao no ekusoshisuto: Kuro no iede,2011.0,7.1,172.0,24.0,NaN,"Animation, Short","Feeling insulted by Rin, Kuro runs away to find a new master",NaN,"Nobuhiko Okamoto, Jun Fukuyama, Keiji Fujiwara, Kana Hanazawa",Movie,Released
Apache: La vida de Carlos Tevez,2019.0,6.6,1426.0,NaN,NaN,"Biography, Crime, Drama",This gritty dramatization of the life of Carlos Tevez shows his rise to soccer stardom amid the harrowing conditions in Argentina's Fuerte Apache.,NaN,"Balthazar Murillo, Vanesa González, Alberto Ajaka, Sofía Gala Castiglione",Movie,Released
Apan,2009.0,6.0,1608.0,81.0,NaN,"Drama, Thriller","A descent into hell, Jesper Ganslandt's disturbing and suspenseful second feature begins with a man waking up in unfamiliar surroundings, only to find the life he knew the day before is gone.",Jesper Ganslandt,"Olle Sarri, Eva Rexed, Françoise Joyce, Sean Pietrulewicz",Movie,Released
Apenas o Fim,2008.0,6.9,875.0,80.0,NaN,"Comedy, Family, Romance","A girl decides to leave her boyfriend and run away to an unknown place. Before she leaves, she decides to meet up with him, but they have only one hour to reflect on their time together.",Matheus Souza,"Gregório Duvivier, Érika Mader, Marcelo Adnet, Nathalia Dill",Movie,Released
Apenstreken,2015.0,5.8,131.0,87.0,NaN,Family,NaN,Johan Nijenhuis,"Tygo Bussemakers, Lars Henckens, Loek Peters, Mees Smits",Movie,Released
Apollo 10 1/2: A Space Age Adventure,2022.0,NaN,0.0,NaN,NaN,"Animation, Action, Adventure","A coming-of-age story set in the suburbs of Houston, Texas in the summer of 1969, centered around the historic Apollo 11 moon landing.",Richard Linklater,"Zachary Levi, Jack Black, Glen Powell, Josh Wiggins",Movie,Released
